,INSTITUTION_NAME_ENCODED,GROUPBY_ENCODED,PROGRAM_AREA_ENCODED,PROGRAM_AREA_NAME_ENCODED,CREDENTIAL_ENCODED,RESPONDENTS,RESPONSE_RATE,AGE,FEMALE,MALE,Education_Satisfaction,Write_Clearly,Speak_Effectively,Work_Effectively,Critical_Thinking,Resolve_Issues,Self_Learning,Comprehension,Quality_Instruction,SELF_EMPLOYED,EMPLOY_FULL_TIME,JOB_PROGRAM_RELATED,USEFUL_PERFORM_JOB,IN_LABR_MKT,EMPLOYED,UNEMPLOYED,SALARY_WAGE,FURTH_STUDIES
0,15,2,9,7,1,39.0,0.6393,35.0,0.66135,,0.9743,0.9705,0.9444,0.9736,0.9743,0.8461,0.9487,1.0,1.0,0.0,0.5428,0.9729,1.0,1.0,0.7177,0.0,26.0,0.282
1,15,2,9,7,1,27.0,0.551,35.0,0.66135,,0.9615,0.909,0.8695,0.923,0.8846,0.9629,1.0,0.8518,0.9629,0.0,0.7083,1.0,0.9583,0.9629,0.7177,0.0,27.44,0.1923
2,18,2,6,4,1,27.0,0.6136,35.0,0.66135,,0.8518,1.0,0.6956,0.6923,0.8888,0.7916,0.7777,0.92,0.8518,0.0,0.6666,0.7368,0.8421,0.8888,0.7407,0.0,27.425,0.1923
3,18,2,7,10,1,53.0,0.5047,35.0,0.66135,,0.7924,0.7027,0.5517,0.6578,0.75905,0.6521,0.86,0.86,0.8269,0.0,0.7045,0.82,0.875,0.9811,0.7177,0.0,23.98,0.1538
4,18,2,7,10,1,93.0,0.567,35.0,0.9032,0.0967,0.9347,0.85,0.8928,0.9418,0.931,0.908,0.9058,0.909,0.956,0.0,0.8701,0.9404,0.9642,0.9555,0.913,0.0,25.0,0.1935
5,18,2,10,11,1,17.0,0.6538,33.0,0.66135,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3299999999999999,0.625,0.875,0.7333,0.5625,0.0,22.485,0.8138125
6,18,2,10,11,1,55.0,0.5445,35.0,0.66135,,0.9444,0.8536,0.826,0.8113,0.9811,0.8846,0.8823,0.9629,0.9636,0.0,0.7714,0.921,0.921,0.8148,0.7407,0.0,19.0,0.4363
7,18,2,10,11,1,43.0,0.5584,35.0,0.7441,0.2558,0.9523,0.8823,0.923,0.9024,0.9069,0.8604,0.8809,0.878,1.0,0.0,0.5357,0.8333,0.8666,0.85,0.7317,0.0,26.0,0.4651
8,11,2,9,7,1,117.0,0.5021,32.0,0.9487,0.0512,0.9487,0.9252,0.9017,0.9824,0.9396,0.9823,0.9115,0.9459,1.0,0.0,0.5978,0.923,0.9711,0.9642,0.9122,0.0005960000000000001,28.725,0.2456
9,3,2,9,7,2,56.0,0.6436,29.0,0.66135,,0.9622,0.8679,0.8301,0.9636,0.9629,0.8909,0.8909,0.9454,0.9272,0.0,0.8,0.9411,0.9607,0.9444,0.7177,0.0,24.0,0.2075
